school_id,name,level,capacity,ags8,kreis5,x,y,geocode_quality,dist_to_osm_edu_m,validated
abs_5599,Grundschule Karlstraße,grundschule,231.0,03158037,03158,605391.7695884882,5780037.76730423,address,2.2448159555228746,True
abs_5629,Grundschule Lamme,grundschule,226.0,03101000,03101,598597.2996418972,5791549.104410891,address,27.49328034771969,True
abs_5721,Grundschule Lengede,grundschule,296.0,03157005,03157,589685.5178639637,5784920.8208911335,address,26.434506836618255,True
abs_5770,Heinrich-Albertz-Schule,grundschule,66.0,03102000,03102,596572.395802602,5778304.671714614,address,24.50255174342102,True
abs_5824,Grund- und Gesamtschule,grundschule,238.0,03103000,03103,621831.2398707333,5812992.717200678,address,15.007869062891874,True
abs_5824,Grund- und Gesamtschule,sekundar_1,671.0,03103000,03103,621831.2398707333,5812992.717200678,address,15.007869062891874,True
abs_5824,Grund- und Gesamtschule,sekundar_2,169.0,03103000,03103,621831.2398707333,5812992.717200678,address,15.007869062891874,True
abs_6105,Grundschule Hohestieg,grundschule,215.0,03101000,03101,602791.6604284013,5791243.860870976,address,0.06147894191406413,True
abs_6130,Christliche Schule Braunschweig,grundschule,47.0,03101000,03101,605674.9279894233,5796083.945234549,address,44.726892825229,True
abs_7080,Evangelische Grundschule Waldschule Eichelkamp,grundschule,359.0,03103000,03103,619861.3713010964,5807929.444424205,address,0.09972134889582883,True
abs_10807,Unsere freie Schule Bergfeld,grundschule,20.0,03151003,03151,625695.6533486912,5823290.242992041,address,96.75731804888645,True
abs_11149,Freie Schule Oberharz,grundschule,12.0,03153018,03153,588399.3349615285,5743045.284077825,address,0.040252741515377895,True
abs_11186,Grundschule Schölkestraße,grundschule,23.0,03101000,03101,601756.9818768429,5792023.355531515,address,24.821265418940964,True
abs_12531,Grundschule Sickte,grundschule,197.0,03158030,03158,611986.8127095117,5786442.840498088,address,280.79224557802723,True
abs_12567,Grundschule Sehlde,grundschule,69.0,03158028,03158,586629.2315161001,5766254.476970863,address,3.0440880076282557,True
abs_13122,Bunte Grundschule Wolfsburg,grundschule,391.0,03103000,03103,619028.4500798654,5805795.002275991,address,54.37222236914168,True
abs_13183,Grundschule Fallersleben,grundschule,422.0,03103000,03103,617212.2518004765,5808311.739544885,address,22.707115747761353,True
abs_13237,Grundschule Schunterwiesen,grundschule,235.0,03103000,03103,621306.8021385202,5801297.551165552,address,14.100688745568625,True
abs_13304,Grundschule Sülfeld,grundschule,172.0,03103000,03103,614788.1872598032,5808291.845087885,address,55.436910014126845,True
abs_13328,Grundschule am Drömling Vorsfelde,grundschule,370.0,03103000,03103,624775.129056598,5811428.018097987,address,9.814315343164743,True
abs_13328,Grundschule am Drömling Vorsfelde,sekundar_1,13.0,03103000,03103,624775.129056598,5811428.018097987,address,9.814315343164743,True
abs_13341,Grundschule Heidgarten,grundschule,194.0,03103000,03103,625348.540168653,5813096.6632135445,address,3.6948700163511803,True
abs_13353,Grundschule Wendschott,grundschule,202.0,03103000,03103,625867.1292442451,5813419.7635687115,address,614.6462261744825,True
abs_13377,Eichendorff-Schule I,grundschule,353.0,03103000,03103,621799.9683729869,5807831.957574625,address,24.763843492240444,True
abs_13389,Grundschule Laagberg,grundschule,233.0,03103000,03103,618914.08229337,5808803.55871472,address,37.85452910150413,True
abs_13407,Grundschule Alt-Wolfsburg,grundschule,294.0,03103000,03103,622387.2778595262,5812091.919254669,address,27.714603556993282,True
abs_13419,Grundschule Käferschule,grundschule,328.0,03103000,03103,624872.4417213656,5808995.895418977,address,28.91289686718458,True
abs_13420,Grundschule Wohltberg,grundschule,240.0,03103000,03103,619945.3187066072,5809485.543174747,address,26.951346845964824,True
abs_13432,Hellwinkelschule,grundschule,353.0,03103000,03103,622835.2797007216,5809469.456424891,address,11.944769143127546,True
abs_13456,Regenbogenschule,grundschule,319.0,03103000,03103,618393.131923312,5807718.948206185,address,7.767388186550445,True
abs_14023,Grundschule Rötgesbüttel,grundschule,178.0,03151023,03151,603970.9673116723,5808175.0434938455,address,2.2488221343762893,True
abs_14126,Grundschule Isenbüttel,grundschule,264.0,03151013,03151,607370.5479694844,5810109.7680328395,address,18.375022416215792,True
abs_14175,Grundschule Wasbüttel,grundschule,100.0,03151037,03151,608235.5183805742,5807703.133694532,address,15.952824234896688,True
abs_14199,Grundschule Parsau,grundschule,169.0,03151021,03151,628137.4675808355,5822275.083423268,address,18.000134052031843,True
abs_14229,Grundschule Calberlah,grundschule,248.0,03151006,03151,610089.7139809402,5809738.260110664,address,39.39790830502843,True
abs_14242,Ovakara Grundschule Hillerse,grundschule,93.0,03151012,03151,595576.5477933376,5807285.947021896,address,21.713725474905633,True
abs_14278,Grundschule Ehra-Lessien,grundschule,81.0,03151008,03151,621206.4459955685,5825848.408866926,address,4786.674156932644,False
abs_14291,Michael-Ende-Schule,grundschule,346.0,03151009,03151,606266.7357700863,5815163.18774688,address,9.618923611610368,True
abs_14308,Gebrüder-Grimm-Schule,grundschule,335.0,03151009,03151,604471.3403732035,5815951.406776556,address,6.677070806585253,True
abs_14333,Grundschule Jembke,grundschule,196.0,03151014,03151,619628.380959108,5818045.464439222,address,222.14043193940446,True
abs_14345,Adam-Riese-Schule,grundschule,395.0,03151009,03151,606901.6642528166,5814280.617478606,address,10.440506702855194,True
abs_14370,Grundschule Weyhausen,grundschule,172.0,03151039,03151,616674.7227162909,5813517.468653706,address,127.33440827067881,True
abs_14382,Mühlenbergschule-Grundschule,grundschule,104.0,03151020,03151,614267.750041238,5814911.582134922,address,11.880599269538592,True
abs_14394,Isetal-Schule,grundschule,129.0,03151009,03151,604144.590166797,5820455.860028487,address,1.1038980059646384,True
abs_14400,Grundschule Ribbesbüttel,grundschule,106.0,03151022,03151,602604.4249317779,5810255.514311333,address,1.3571808269200925,True
abs_14424,Margret und Rolf Rettich-Schule,grundschule,131.0,03151034,03151,603873.2606791406,5803264.756023374,address,4.870290065191093,True
abs_14436,Grundschule Sprakensehl,grundschule,47.0,03151028,03151,600461.4051736037,5847312.302802911,address,9.886152421797807,True
abs_14448,Grundschule Waldschule Tülau-Voitze,grundschule,67.0,03151032,03151,627130.565577697,5828025.741146105,address,0.07843784489831152,True
abs_14497,Grundschule Schwülper,grundschule,332.0,03151027,03151,597279.3271980401,5801500.93573287,address,4.334211760439287,True
abs_14588,Grundschule Radenbeck,grundschule,66.0,03151040,03151,626320.4239610962,5834434.12191435,address,11.309440161864478,True
abs_14722,Immanuelschule Gifhorn,grundschule,89.0,03151009,03151,604712.0759280786,5814224.211199879,address,197.22092020706398,True
abs_16135,Grundschule Am Lerchenberg,grundschule,352.0,03151038,03151,603852.108313348,5828634.722383165,address,16.36211705577781,True
abs_20138,Grundschule Rheinring,grundschule,239.0,03101000,03101,600757.348056604,5790115.690951796,address,10.348619479649535,True
abs_24375,Hans-Georg-Karg Grundschule,grundschule,258.0,03101000,03101,605140.04290586,5790901.163724709,address,132.5330245097763,True
abs_24739,Grundschule Nord,grundschule,324.0,03102000,03102,591512.3333799075,5779988.321787434,address,47.82997169030693,True
abs_24764,Freie Schule Bredelem,grundschule,20.0,03153019,03153,593000.1309359664,5758709.321312838,address,2921.279167402829,False
abs_24806,Grundschule Am Schildberg,grundschule,221.0,03153012,03153,580475.4715658117,5750102.047941388,address,33.929125301042546,True
abs_24922,Grundschule Gliesmarode,grundschule,183.0,03101000,03101,606702.8411568779,5793328.273466552,address,14.780189365677277,True
abs_24946,Grundschule Heidberg,grundschule,228.0,03101000,03101,605251.7646211375,5787839.103258369,address,1.1733589359145629,True
abs_24946,Grundschule Heidberg,sekundar_1,89.0,03101000,03101,605251.7646211375,5787839.103258369,address,1.1733589359145629,True
abs_24958,Grundschule Altmühlstraße,grundschule,435.0,03101000,03101,601353.3763576692,5789060.573061945,address,65.52417821307075,True
abs_24971,Grundschule Am Schwarzen Berge,grundschule,155.0,03101000,03101,603336.4964582038,5794617.775964478,address,22.69492790204257,True
abs_24983,Grundschule Edith Stein,grundschule,161.0,03101000,03101,604468.2854477365,5791539.329872215,address,0.22434709998721603,True
abs_24995,Grundschule Gartenstadt,grundschule,125.0,03101000,03101,602380.898296668,5788081.199100521,address,188.65468316643924,True
abs_25008,Grundschule Hinter der Masch,grundschule,125.0,03101000,03101,603252.8699286794,5792449.690280649,address,1.2945388923831855,True
